id_in_original_dataset,text,labels,txt_len,label_text
1360.0,Myotonic dystrophy ( DM ) is the most prevalent inherited neuromuscular disease in adults .,B I O B O O O O O B I I O O O,32.0,"<span style=""background-color: #FFFF00"">Myotonic dystrophy</span> ( <span style=""background-color: #FFFF00"">DM</span> ) is the most prevalent <span style=""background-color: #FFFF00"">inherited neuromuscular disease</span> in adults ."
8921.0,A potential animal model for Lesch - Nyhan syndrome through introduction of HPRT mutations into mice .,O O O O O B I I I O O O O O O O O,13.0,"A potential animal model for <span style=""background-color: #FFFF00"">Lesch - Nyhan syndrome</span> through introduction of HPRT mutations into mice ."
11718.0,"AO - GLD mutations , including those found here , are located in the N - terminus ( I66M , G270D , 535 - 573del ) or C - terminus ( L618S ) of the GALC enzyme , whereas the reported mutations in the infantile form ( IF - GLD ) are in the central domain .",B I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I I O O O O O O O,13.0,"<span style=""background-color: #FFFF00"">AO - GLD</span> mutations , including those found here , are located in the N - terminus ( I66M , G270D , 535 - 573del ) or C - terminus ( L618S ) of the GALC enzyme , whereas the reported mutations in the infantile form ( <span style=""background-color: #FFFF00"">IF - GLD</span> ) are in the central domain ."
5147.0,A missense mutation in the cholesteryl ester transfer protein gene with possible dominant effects on plasma high density lipoproteins .,O O O O O O O O O O O O O O O O O O O O,32.0,A missense mutation in the cholesteryl ester transfer protein gene with possible dominant effects on plasma high density lipoproteins .
6083.0,Post - mortem examination of one of the patients showed extensive myelin loss in these columns .,O O O O O O O O O O O O O O O O O,13.0,Post - mortem examination of one of the patients showed extensive myelin loss in these columns .
10246.0,The latter indicates that a mRNA based approach is not feasible for the genetic analysis of protein S deficiency type I . .,O O O O O O O O O O O O O O O O B I I I I O O,13.0,"The latter indicates that a mRNA based approach is not feasible for the genetic analysis of <span style=""background-color: #FFFF00"">protein S deficiency type I</span> . ."
1473.0,"Emerin , deficiency of which causes Emery - Dreifuss muscular dystrophy , is localized at the inner nuclear membrane .",B I I O O O B I I I I O O O O O O O O O,32.0,"<span style=""background-color: #FFFF00"">Emerin , deficiency</span> of which causes <span style=""background-color: #FFFF00"">Emery - Dreifuss muscular dystrophy</span> , is localized at the inner nuclear membrane ."
6276.0,"Our results suggest that the most important determinant in the ERG b - wave phenotype is the mutation position , rather than muscle disease severity .",O O O O O O O O O O O O O O O O O O O O O O B I O O,13.0,"Our results suggest that the most important determinant in the ERG b - wave phenotype is the mutation position , rather than <span style=""background-color: #FFFF00"">muscle disease</span> severity ."
7997.0,A C - - greater than G transversion has been found in exon 3 of the PLP gene of affected males and their mother in a single sibship with Pelizaeus - merzbacher disease ( PMD ) .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I I I O B O O,13.0,"A C - - greater than G transversion has been found in exon 3 of the PLP gene of affected males and their mother in a single sibship with <span style=""background-color: #FFFF00"">Pelizaeus - merzbacher disease</span> ( <span style=""background-color: #FFFF00"">PMD</span> ) ."
6390.0,"The efficiency of this system , as a screening test for BRCA1 mutations , was evaluated in a panel of 60 samples from high risk women , 14 of which contained a previously identified mutation in BRCA1 .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,13.0,"The efficiency of this system , as a screening test for BRCA1 mutations , was evaluated in a panel of 60 samples from high risk women , 14 of which contained a previously identified mutation in BRCA1 ."
